nouns,dates,values,,adj,dates,values,,unkn,dates,values,,intj,dates,values,,prcl,dates,values,,prep,dates,values,,conj,dates,values
,1998,0.34,,,1998,7.91,,,1998,5.69,,,1999,0.32,,,1998,0.76,,,1998,0.32,,,1998,01.06
,1999,0.4,,,1999,10.04,,,1999,6.87,,,2000,0.55,,,1999,0.55,,,1999,0.19,,,1999,0.56
,2000,0.29,,,2000,10.52,,,2000,06.04,,,2001,0.55,,,2000,0.61,,,2000,0.28,,,2000,1.16
,2001,0.48,,,2001,11.3,,,2001,7.12,,,2003,0.66,,,2001,0.45,,,2001,0.19,,,2001,0.88
,2003,0.39,,,2003,10.66,,,2003,6.77,,,2004,0.51,,,2003,0.56,,,2003,0.28,,,2003,0.72
,2004,0.64,,,2004,10.49,,,2004,6.3,,,2005,0.29,,,2004,0.31,,,2004,0.31,,,2004,0.53
,2005,0.32,,,2005,10.51,,,2005,6.48,,,2006,0.79,,,2005,01.08,,,2005,0.33,,,2005,1.35
,2006,0.45,,,2006,10.02,,,2006,6.31,,,2007,0.5,,,2006,0.37,,,2006,0.3,,,2006,0.75
,2007,0.3,,,2007,4.81,,,2007,4.81,,,2008,0.49,,,2007,1.0,,,2007,0.5,,,2007,0.6
,2008,0.5,,,2008,10.64,,,2008,6.42,,,2009,1.2,,,2008,0.52,,,2008,0.32,,,2008,0.77
,2009,0.5,,,2009,09.08,,,2009,6.28,,,2010,0.31,,,2009,0.29,,,2009,0.26,,,2009,0.93
,2010,0.54,,,2010,9.9,,,2010,7.15,,,2011,0.4,,,2010,0.44,,,2010,0.19,,,2010,0.7
,2011,0.39,,,2011,8.75,,,2011,5.58,,,2012,0.42,,,2011,0.18,,,2011,0.34,,,2011,0.43
,2012,0.34,,,2012,12.1,,,2012,5.92,,,2013,0.48,,,2012,0.77,,,2012,0.27,,,2012,0.97
,2013,0.71,,,2013,6.93,,,2013,8.27,,,2014,0.66,,,2013,0.53,,,2013,0.26,,,2013,0.68
,2014,0.33,,,2014,10.78,,,2014,7.62,,,,,,,2014,0.4,,,2014,0.39,,,2014,0.81
,,,,,,,,,,,,,,,,,,,,,,,,,,
verb,dates,values,,,,,,,,,,,,,,,,,,,,,,,,
,1000,14.85,,,,,,,,,,,,,,,,,,,,,,,,
,1771,14.42,,,,,,,,,,,,,,,,,,,,,,,,
,1774,16.82,,,,,,,,,,,,,,,,,,,,,,,,
,1782,17.37,,,,,,,,,,,,,,,,,,,,,,,,
,1790,14.76,,,,,,,,,,,,,,,,,,,,,,,,
,1791,13.91,,,,,,,,,,,,,,,,,,,,,,,,
,1794,15.92,,,,,,,,,,,,,,,,,,,,,,,,
,1814,15.02,,,,,,,,,,,,,,,,,,,,,,,,
,1818,16.56,,,,,,,,,,,,,,,,,,,,,,,,
,1834,16.8,,,,,,,,,,,,,,,,,,,,,,,,
,1836,17.0,,,,,,,,,,,,,,,,,,,,,,,,
,1845,16.92,,,,,,,,,,,,,,,,,,,,,,,,
,1848,15.77,,,,,,,,,,,,,,,,,,,,,,,,
,1853,13.24,,,,,,,,,,,,,,,,,,,,,,,,
,1859,16.61,,,,,,,,,,,,,,,,,,,,,,,,
,1872,13.21,,,,,,,,,,,,,,,,,,,,,,,,
,1873,18.28,,,,,,,,,,,,,,,,,,,,,,,,
,1880,13.45,,,,,,,,,,,,,,,,,,,,,,,,
,1888,16.41,,,,,,,,,,,,,,,,,,,,,,,,
,1897,15.01,,,,,,,,,,,,,,,,,,,,,,,,
,1912,13.59,,,,,,,,,,,,,,,,,,,,,,,,
,1913,13.59,,,,,,,,,,,,,,,,,,,,,,,,
,1915,15.82,,,,,,,,,,,,,,,,,,,,,,,,
,1920,14.06,,,,,,,,,,,,,,,,,,,,,,,,
,1922,16.35,,,,,,,,,,,,,,,,,,,,,,,,
,1927,16.45,,,,,,,,,,,,,,,,,,,,,,,,
,1936,16.55,,,,,,,,,,,,,,,,,,,,,,,,
,1938,16.92,,,,,,,,,,,,,,,,,,,,,,,,
,1939,14.5,,,,,,,,,,,,,,,,,,,,,,,,
,1940,16.95,,,,,,,,,,,,,,,,,,,,,,,,
,1941,13.21,,,,,,,,,,,,,,,,,,,,,,,,
,1942,15.54,,,,,,,,,,,,,,,,,,,,,,,,
,1944,14.54,,,,,,,,,,,,,,,,,,,,,,,,
,1945,12.12,,,,,,,,,,,,,,,,,,,,,,,,
,1948,15.37,,,,,,,,,,,,,,,,,,,,,,,,
,1952,13.03,,,,,,,,,,,,,,,,,,,,,,,,
,1956,14.57,,,,,,,,,,,,,,,,,,,,,,,,
,1963,19.98,,,,,,,,,,,,,,,,,,,,,,,,
,1965,14.5,,,,,,,,,,,,,,,,,,,,,,,,
,1970,17.79,,,,,,,,,,,,,,,,,,,,,,,,
,1971,16.44,,,,,,,,,,,,,,,,,,,,,,,,
,1972,15.44,,,,,,,,,,,,,,,,,,,,,,,,
,1979,17.64,,,,,,,,,,,,,,,,,,,,,,,,
,1981,14.88,,,,,,,,,,,,,,,,,,,,,,,,
,1982,16.17,,,,,,,,,,,,,,,,,,,,,,,,
,1983,13.85,,,,,,,,,,,,,,,,,,,,,,,,
,1984,10.81,,,,,,,,,,,,,,,,,,,,,,,,
,1988,18.34,,,,,,,,,,,,,,,,,,,,,,,,
,1990,13.46,,,,,,,,,,,,,,,,,,,,,,,,
,1996,17.95,,,,,,,,,,,,,,,,,,,,,,,,
,1997,15.37,,,,,,,,,,,,,,,,,,,,,,,,
,1998,14.9,,,,,,,,,,,,,,,,,,,,,,,,
,1999,16.92,,,,,,,,,,,,,,,,,,,,,,,,
,2000,16.06,,,,,,,,,,,,,,,,,,,,,,,,
,2001,15.81,,,,,,,,,,,,,,,,,,,,,,,,
,2003,16.54,,,,,,,,,,,,,,,,,,,,,,,,
,2004,15.96,,,,,,,,,,,,,,,,,,,,,,,,
,2005,14.69,,,,,,,,,,,,,,,,,,,,,,,,
,2006,15.15,,,,,,,,,,,,,,,,,,,,,,,,
,2007,12.63,,,,,,,,,,,,,,,,,,,,,,,,
,2008,16.54,,,,,,,,,,,,,,,,,,,,,,,,
,2009,13.06,,,,,,,,,,,,,,,,,,,,,,,,
,2010,17.91,,,,,,,,,,,,,,,,,,,,,,,,
,2011,13.55,,,,,,,,,,,,,,,,,,,,,,,,
,2012,16.36,,,,,,,,,,,,,,,,,,,,,,,,
,2013,16.34,,,,,,,,,,,,,,,,,,,,,,,,
,2014,14.46,,,,,,,,,,,,,,,,,,,,,,,,
